518078 function calls (514214 primitive calls) in 7.743 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.001    0.000    0.048    0.001 construction.py:216(init_dict)
       58    0.000    0.000    0.000    0.000 construction.py:248(<genexpr>)
       58    0.000    0.000    0.000    0.000 construction.py:252(<listcomp>)
       58    0.000    0.000    0.000    0.000 construction.py:255(<listcomp>)
       58    0.000    0.000    0.000    0.000 construction.py:300(_homogenize)
       58    0.000    0.000    0.015    0.000 construction.py:331(extract_index)
       58    0.000    0.000    0.023    0.000 construction.py:69(arrays_to_mgr)
       58    0.000    0.000    0.000    0.000 contenttypes.py:130(_add_image_types)
       58    0.000    0.000    0.001    0.000 contenttypes.py:169(_write_defaults)
       58    0.000    0.000    0.003    0.000 contenttypes.py:177(_write_overrides)
       58    0.000    0.000    0.001    0.000 contenttypes.py:184(_write_types)
        1    0.000    0.000    0.000    0.000 contenttypes.py:29(ContentTypes)
       58    0.001    0.000    0.007    0.000 contenttypes.py:42(__init__)
       58    0.000    0.000    0.035    0.001 contenttypes.py:60(_assemble_xml_file)
       58    0.000    0.000    0.000    0.000 contenttypes.py:79(_add_override)
        1    0.000    0.000    0.000    0.000 contenttypes.py:8(<module>)
       58    0.000    0.000    0.000    0.000 contenttypes.py:83(_add_worksheet_name)
  414/178    0.001    0.000    0.026    0.000 contextlib.py:107(__enter__)
  414/178    0.001    0.000    0.008    0.000 contextlib.py:116(__exit__)
        1    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
      414    0.001    0.000    0.002    0.000 contextlib.py:237(helper)
      414    0.001    0.000    0.002    0.000 contextlib.py:81(__init__)
 1334/116    0.002    0.000    0.005    0.000 copy.py:132(deepcopy)
      812    0.000    0.000    0.000    0.000 copy.py:190(_deepcopy_atomic)
  522/116    0.001    0.000    0.005    0.000 copy.py:211(_deepcopy_list)
      522    0.001    0.000    0.001    0.000 copy.py:253(_keep_alive)
       58    0.000    0.000    0.001    0.000 core.py:104(_write_dc_creator)
       58    0.000    0.000    0.000    0.000 core.py:110(_write_cp_last_modified_by)
       58    0.000    0.000    0.003    0.000 core.py:116(_write_dcterms_created)
       58    0.000    0.000    0.002    0.000 core.py:128(_write_dcterms_modified)
       58    0.000    0.000    0.000    0.000 core.py:140(_write_dc_title)
       58    0.000    0.000    0.000    0.000 core.py:149(_write_dc_subject)
        1    0.000    0.000    0.000    0.000 core.py:15(Core)
       58    0.000    0.000    0.000    0.000 core.py:158(_write_cp_keywords)
       58    0.000    0.000    0.000    0.000 core.py:167(_write_dc_description)
       58    0.000    0.000    0.000    0.000 core.py:176(_write_cp_category)
       58    0.000    0.000    0.000    0.000 core.py:185(_write_cp_content_status)
       58    0.000    0.000    0.001    0.000 core.py:28(__init__)
       58    0.001    0.000    0.034    0.001 core.py:44(_assemble_xml_file)
       58    0.000    0.000    0.000    0.000 core.py:67(_set_properties)
      116    0.000    0.000    0.003    0.000 core.py:71(_datetime_to_iso8601_date)
       58    0.000    0.000    0.002    0.000 core.py:84(_write_cp_core_properties)
        1    0.000    0.000    0.000    0.000 core.py:9(<module>)
    10004    0.004    0.000    0.008    0.000 cp1252.py:18(encode)
      812    0.001    0.000    0.001    0.000 cp437.py:14(decode)
        1    0.000    0.000    0.000    0.000 cp437.py:17(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 cp437.py:21(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 cp437.py:25(StreamWriter)
        1    0.000    0.000    0.000    0.000 cp437.py:28(StreamReader)
        1    0.000    0.000    0.000    0.000 cp437.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cp437.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 cp437.py:9(Codec)
        1    0.000    0.000    0.000    0.000 css.py:14(CSSResolver)
        1    0.000    0.000    0.000    0.000 css.py:2(<module>)
        5    0.000    0.000    0.000    0.000 css.py:216(_side_expander)
        1    0.000    0.000    0.000    0.000 css.py:8(CSSWarning)
       58    0.000    0.000    0.002    0.000 cursor.py:1027(_unpack_response)
       58    0.000    0.000    0.000    0.000 cursor.py:1032(_read_preference)
       58    0.001    0.000    0.159    0.003 cursor.py:1039(_refresh)
       58    0.001    0.000    0.002    0.000 cursor.py:110(__init__)
       58    0.000    0.000    0.000    0.000 cursor.py:1140(session)
       58    0.000    0.000    0.000    0.000 cursor.py:1149(__iter__)
       58    0.000    0.000    0.160    0.003 cursor.py:1152(next)
       58    0.000    0.000    0.000    0.000 cursor.py:237(__del__)
      116    0.000    0.000    0.001    0.000 cursor.py:292(__die)
       58    0.001    0.000    0.002    0.000 cursor.py:330(__query_spec)
       58    0.000    0.000    0.000    0.000 cursor.py:386(__check_okay_to_chain)
       58    0.000    0.000    0.002    0.000 cursor.py:686(sort)
       58    0.000    0.000    0.000    0.000 cursor.py:839(__set_hint)
       58    0.001    0.000    0.153    0.003 cursor.py:937(__send_message)
        1    0.000    0.000    0.000    0.000 custom.py:12(Custom)
       58    0.000    0.000    0.001    0.000 custom.py:25(__init__)
        1    0.000    0.000    0.000    0.000 custom.py:9(<module>)
      354    0.000    0.000    0.000    0.000 database.py:156(client)
      236    0.000    0.000    0.000    0.000 database.py:161(name)
      118    0.000    0.000    0.006    0.000 database.py:278(__getattr__)
      118    0.000    0.000    0.005    0.000 database.py:292(__getitem__)
        1    0.000    0.000    0.000    0.000 drawing.py:13(Drawing)
        1    0.000    0.000    0.004    0.004 drawing.py:8(<module>)
